feature,target
Paris,94088.23180544286
Paris,93473.36429268321
Tokyo,75387.07248441593
New York,130936.7242070591
Paris,87638.63664795776
Mumbai,54757.93300317187
Tokyo,69073.4243486814
New York,134914.18177528557
Tokyo,75673.32436216393
Mumbai,56881.35097067017
New York,134412.23713655327
Tokyo,78172.6590941717
London,147562.04131819133
Mumbai,50868.04261295774
Mumbai,61771.49389659848
Mumbai,66833.57670472696
London,133679.37827279812
London,133303.67509145712
Paris,83063.50956064339
Tokyo,77742.20278267463
Paris,89197.68026978831
Tokyo,74294.50151334878
London,149883.68848918323
London,121784.14706601843
Paris,65095.03545742105
New York,136401.98311559623
Paris,73953.04737085631
Tokyo,67211.47166098452
Paris,74356.97240012842
Mumbai,47681.42695314863
Tokyo,60923.70148981344
Tokyo,89145.99127171766
New York,132207.4548845278
London,142020.8928776792
Tokyo,82877.89184082526
London,147877.72194021687
Paris,65916.4837128014
Mumbai,66161.45015341023
New York,135272.261808398
London,138976.32329897484
Tokyo,79334.108313631
London,144593.93414954183
Tokyo,70002.21966477332
London,141991.5356957998
Tokyo,75857.34329166591
Paris,88801.82042916043
Tokyo,89716.380983104
Tokyo,66019.53052211284
Mumbai,69839.45924679993
Tokyo,62694.36462848322
Mumbai,40069.526437144414
New York,130441.61936177831
Mumbai,50253.47214210285
Paris,83987.18992035303
Mumbai,42070.88622663549
New York,130056.65814529567
Paris,93112.73085376385
London,144657.7990781979
London,144275.49513417092
Mumbai,66532.72826505931
Mumbai,61001.02818316313
New York,131044.04129748081
New York,133991.00188073723
Tokyo,81694.48459393889
New York,132803.3446079152
Tokyo,80622.19092408713
Paris,65734.95344802957
Mumbai,49184.12022638779
Paris,81473.91008831518
New York,136320.89829506242
Paris,82311.21993385733
Paris,85932.68828220289
Paris,65182.66244719517
New York,131009.41199977521
Paris,91068.32756837436
Tokyo,80452.45932270483
New York,131129.3164268601
Paris,90262.23312195737
New York,132422.31217824566
London,134347.7965258567
Tokyo,64355.89538653981
Paris,86303.3016926512
London,140005.63263042804
London,126333.37413498409
New York,138634.00766857003
London,132039.18072659135
Tokyo,68775.45273212226
Tokyo,64569.88768393606
Mumbai,47985.040375466124
Tokyo,60660.80763671451
London,137497.72477368347
Tokyo,85266.92239031843
New York,135489.80449441643
Mumbai,46578.218857716274
London,121010.07534641618
Mumbai,46438.84219776408
London,132483.64284213277
New York,137596.11428699797
Mumbai,45635.285576133225
Paris,86593.74360064059
London,146008.0040505565
Paris,78618.40544325071
Mumbai,64642.9597492778
Paris,81639.72044105286
Paris,84112.72511242714
Mumbai,55788.35381014608
New York,134631.72716751343
Paris,72039.60325327548
Paris,74095.82178383139
New York,132899.70118943608
Paris,81898.66792861445
Paris,68598.6107907167
Paris,92503.75072107006
Tokyo,81619.6543584934
New York,134014.45630913193
Paris,69758.72433579134
New York,138819.92169721637
London,144713.34270303496
London,141651.64658151538
Paris,73146.41142233727
New York,134024.46637433668
New York,131027.48252452424
New York,131890.39524727533
Tokyo,83490.49911950198
London,141451.1615655205
New York,135934.85762975935
New York,138957.26725926172
Tokyo,77497.99553439136
Tokyo,74009.03999890832
New York,133403.70746305762
Mumbai,68213.45517208517
New York,130827.15461524353
New York,139308.87372060807
Tokyo,84801.43979793055
Tokyo,63897.89773607104
New York,135649.84357675252
New York,138665.47981749088
New York,135718.09163607153
Tokyo,87215.99464681867
New York,139429.83816816044
New York,134223.84522184305
Paris,76319.4098421897
Mumbai,68089.6346190747
London,140254.20183449006
Mumbai,43480.68044044508
Paris,66268.75247668044
London,136938.8715299179
New York,139301.70965438423
Paris,90327.46107217456
New York,136758.47746464337
Tokyo,64173.47546673263
Paris,72626.94151246086
Tokyo,86265.33679657849
Paris,70484.21709970702
Paris,73353.18224751303
Tokyo,63888.019535863255
London,140283.24694243234
Mumbai,68319.46916089629
New York,132689.68031595385
Paris,79262.1982355022
New York,136343.39739711204
Tokyo,89983.98744646892
New York,131048.08064997572
Tokyo,74957.12398517127
New York,133851.201199025
Mumbai,65974.60495667065
Mumbai,54279.03193034968
Mumbai,43329.32573755444
Mumbai,59032.72435859751
Mumbai,63123.41854791639
Mumbai,40086.43754996844
Tokyo,85768.70056261889
Paris,70580.69000016997
New York,135520.69364653376
Mumbai,52473.9250206235
Tokyo,81589.61449831592
Tokyo,71134.84844357225
Tokyo,86092.89530045132
Paris,86914.8908287637
New York,136477.1317106292
Paris,88887.21786688562
London,142620.69104785146
Tokyo,61078.1602476466
London,131842.03061534485
Mumbai,67924.2189194947
Mumbai,43771.72806976679
Paris,87112.89651296154
New York,139745.91811335328
London,121565.95887134915
New York,136821.93880626612
Paris,79044.6242390309
Mumbai,57375.25766124166
New York,130853.41336484325
New York,130430.06951866939
Mumbai,60005.99981652765
London,144699.28289462154
Mumbai,63460.46004798902
New York,135438.05727866237
London,122996.00463408534
London,140641.3333150804
Mumbai,47256.66650662438
New York,139110.68702767385
Paris,90147.96078637114
New York,137093.8296708739
Tokyo,88465.37867493392
Paris,65942.65464533819
London,142086.01275182285
Paris,74907.28338009217
London,147181.97657059095
London,128000.25589985933
Paris,86745.69497945052
London,146329.41058952344
London,121249.70455148048
Tokyo,71929.42738776108
New York,137623.09032021937
New York,134549.18889507587
Tokyo,68017.57889380786
Paris,71594.1604646957
Mumbai,43945.548007491336
Mumbai,65713.88679568846
Mumbai,57260.66209754668
Tokyo,62291.54834974368
Tokyo,71477.40970711906
London,131032.0095241533
Mumbai,45452.175721283886
Paris,78065.22876416572
Paris,74962.98096179409
Mumbai,50254.111164765476
Mumbai,62170.79673363876
Mumbai,46697.90156515589
Tokyo,79255.79876566067
Tokyo,77119.48871642805
Tokyo,77042.77537013602
New York,136630.07346141775
Paris,81451.46108586961
Paris,91377.65344539154
London,140267.4027585078
Tokyo,76408.89754114165
New York,138297.63120287645
New York,136061.4656493348
Paris,73734.32743355537
Tokyo,66212.84754529713
London,124569.83356988037
Tokyo,86983.65637638305
Mumbai,61304.062953941975
Tokyo,88121.35314492963
Mumbai,58098.754171448294
Mumbai,54202.026444847375
London,121791.49466912668
Paris,85149.2684463809
Tokyo,77466.26279304693
Mumbai,69706.26680762865
Tokyo,67174.76333346729
Paris,80922.12065860507
Paris,84528.72005354217
New York,136445.91174742344
Paris,81838.80628845208
London,143307.84030981676
Mumbai,46149.43628580449
New York,137256.27200274417
London,138592.03714299266
Tokyo,86882.25335383721
Mumbai,65415.833171007456
Paris,74454.4111739766
Mumbai,48287.11974925459
Tokyo,89449.59971557344
New York,135272.65180915256
New York,139064.20963914436
New York,131638.81023780484
Paris,84284.56744400522
London,144295.80562081758
London,148421.8574875934
Mumbai,50120.2042305107
Paris,86749.43509772158
New York,135388.13009039618
New York,130606.28926066468
Tokyo,80699.9921192683
Tokyo,80702.8967471353
New York,139306.06804846536
New York,134973.12446168973
Paris,71907.52762131544
London,121336.91470346038
Tokyo,72469.26560057717
London,129057.50100232505
Paris,87832.64918071627
New York,133542.67764841046
London,148472.13588944532
New York,139623.10202987783
New York,136209.0859021771
Mumbai,67859.80861044649
London,142825.63033543486
London,136405.78922925377
New York,131803.07935422778
Paris,78757.9383054152
Mumbai,56826.23390087853
New York,138639.6158073501
Tokyo,74440.00129606994
Tokyo,86930.2401803387
Mumbai,60230.46937070407
Paris,69109.97189161014
New York,139949.81369325094
London,135816.97982261737
Mumbai,51755.748892272364
Paris,84773.41293408579
London,123266.79941943118
Tokyo,79096.15940260064
Tokyo,74947.08001497819
London,132200.2220999575
Mumbai,68590.60063536698
Tokyo,75676.1915019616
New York,132191.1747946994
London,133768.90438131895
London,147581.62213718018
Tokyo,65282.86413991784
Mumbai,46418.71116064711
New York,130130.29567757084
Mumbai,40425.70148187302
Paris,89881.74880875538
Paris,86963.67820528867
Tokyo,70651.23169355874
Tokyo,80949.33471682719
Tokyo,71856.17778929911
Paris,93586.90387993482
Mumbai,69011.58044278104
Mumbai,51783.8132742803
Tokyo,85626.65719022605
New York,137730.89041697467
Mumbai,49299.99811515368
Paris,71961.19486703318
London,133747.03951178503
London,143440.4652184322
London,148805.03354186236
New York,137635.79068866573
Tokyo,85656.2095505511
Paris,83091.9291851155
New York,138354.07830842125
Paris,88532.62574010252
Paris,76309.5662577884
Tokyo,76559.70906362163
London,144142.59365969084
Tokyo,61381.702025698694
New York,138080.7928235583
New York,131778.88124049024
New York,135146.83617121438
Tokyo,84248.26318667813
Paris,72614.63234470085
Paris,72374.22317918458
Mumbai,52082.931953867555
New York,138946.42797577634
Paris,65013.283443116234
Mumbai,67041.49289925805
Paris,69614.21073924823
New York,139900.8637606748
London,148645.40979115403
New York,134946.75189591284
Tokyo,75381.60743437885
Paris,79446.48020827564
Paris,84063.30936978568
Tokyo,62721.65106704793
Tokyo,60978.538450247
London,121731.08785247697
Paris,78330.96047724543
Paris,73266.4381765845
London,138661.18687112982
Mumbai,69773.26868124337
London,131589.69519229396
New York,135738.41254104514
Paris,77468.11687722006
Tokyo,85418.15003165578
New York,139022.36403462238
Paris,91320.6683661578
London,149231.16716037772
New York,130275.19185140415
Paris,90194.48486436594
Mumbai,62553.1651911728
Mumbai,46860.832282010946
Tokyo,88689.60280162582
Paris,69445.33784689836
Mumbai,60386.497814017246
London,126746.70650447738
Paris,77941.41946322224
London,141574.79690833707
London,136899.7392609914
Mumbai,52825.05493984335
Paris,74790.15292795961
New York,138396.5965570879
Mumbai,44314.43050944441
Mumbai,52903.086295894
Paris,92112.72715325427
Paris,90375.48651379903
London,132028.2528741914
Paris,87893.25090803925
London,144694.82492126577
Mumbai,66666.62272010889
Tokyo,76335.17307147683
New York,132044.60886054713
Mumbai,47659.272295117946
Paris,73870.84022124813
New York,135938.02480809615
Tokyo,60984.288723858255
Tokyo,79081.27406339905
London,130930.62715284697
New York,132952.4180248964
London,146384.8971218438
Mumbai,53800.07186742397
New York,130950.53045532692
Mumbai,64802.40304078741
London,121429.2377230952
New York,137267.49224168196
London,143217.18665311995
New York,133526.0260592886
London,144743.6356883336
Tokyo,75469.7821756936
London,133898.8095981839
Tokyo,61362.09844406078
London,128700.87580946718
New York,139310.099708853
New York,133918.239632835
New York,135467.0052055677
Paris,80960.65036952755
Mumbai,57712.9326946808
New York,130613.30955643283
Tokyo,70865.28764396184
New York,137231.28273882554
Paris,71016.80753218949
Tokyo,66107.35132639081
Paris,65302.718200670744
Tokyo,73124.4577982463
London,146482.03142020266
Mumbai,41557.02830761927
Mumbai,45733.56128488008
Paris,74302.53615028266
Mumbai,61951.74209692639
Paris,84219.0677840776
Paris,77478.31713745566
Paris,87772.06817775127
Mumbai,58288.93034970706
Paris,91881.22398971657
Mumbai,64540.802474160795
Paris,72584.40818267602
New York,132714.385776342
Paris,68760.69427377157
Tokyo,70108.94177152369
Paris,94986.31756157283
London,132172.53505845182
Paris,71614.65304067319
Tokyo,82874.48653426659
Tokyo,76274.13010387968
Mumbai,44488.04348580858
New York,133806.89681160866
Paris,77434.0914661803
Mumbai,62614.89101707656
New York,130206.71368891904
Paris,73070.58940394931
London,135527.88903946566
Paris,73065.4022735853
Tokyo,78853.02142256996
Tokyo,74456.0243782385
London,130851.30764578743
Mumbai,68476.25880611537
New York,136321.59499186458
Paris,68898.24116803824
Tokyo,76802.75092330186
Mumbai,63421.95559602703
London,141254.69092478394
Tokyo,65162.67687885778
London,149172.5999712031
Paris,78464.40937239818
New York,131590.2500374026
Tokyo,65405.872623844436
Tokyo,62947.04976567242
Paris,89105.54325304803
Mumbai,43660.91482965546
New York,131251.25257141746
Tokyo,85514.14844282513
New York,133446.0408444756
Tokyo,60925.737129242174
New York,130518.95299518411
London,124265.11340111686
Tokyo,66401.80043927068
New York,136651.46194238405
Mumbai,44719.78840005485
London,123566.23173531216
London,142941.57424428838
Mumbai,60131.65851579743
New York,134353.24221455236
Paris,81479.29314440311
Mumbai,49359.520609792555
New York,134825.0042023536
Mumbai,55200.17946948238
Mumbai,51617.11813534288
Tokyo,87197.16632016489
New York,130160.61864981006
Paris,88465.13789273739
Tokyo,63731.48493723973
Mumbai,63926.420816115984
Mumbai,58477.357470301635
Mumbai,65298.34272809207
New York,130975.14325640898
New York,135589.80634099775
Tokyo,75032.63640786591
Paris,86185.79548890077
Tokyo,76028.71655681028
London,136222.03701399313
Mumbai,52887.87830728194
Mumbai,49265.032720220224
Mumbai,54467.930837565764
Tokyo,63554.770763052016
Tokyo,88845.40016949254
Mumbai,61432.32290879795
Tokyo,88574.0135006354
New York,132267.27382329962
New York,138793.41020176528
Tokyo,84263.69953690615
Mumbai,60314.57237373021
Tokyo,78750.87558255617
Tokyo,69496.4899580361
Tokyo,84492.32354895092
London,135045.463844392
New York,130708.91575891286
Paris,74385.8948256539
Paris,93058.91295635983
London,145520.40781814538
Tokyo,89457.17094229617
London,138839.80147812294
London,127425.30219421236
Mumbai,44884.45149030592
New York,131869.1444060846
Paris,65593.86975041764
Tokyo,71720.46332957817
Paris,70742.83041498628
Paris,77349.66381370107
New York,139349.94431838766
Paris,77916.2062852157
Paris,91339.53490954504
London,138165.14299847628
New York,132471.3155466139
Mumbai,50675.642777776346
Tokyo,62517.58607464288
Paris,75003.87780788032
Tokyo,80326.22836510601
Mumbai,42163.33278788305
Tokyo,66162.04225434088
Mumbai,51443.23124239934
London,149461.48611047887
Paris,88545.85468876641
Mumbai,62004.60239476312
Tokyo,63485.72869576338
Paris,88429.87680844974
London,143558.06434548047
Paris,83033.08086872986
Mumbai,69710.85345995115
London,129757.61717773655
Tokyo,88238.17344725554
London,147441.9334486951
London,120344.41979248133
New York,134501.16526474812
London,149313.1269915472
London,123093.64087224228
Paris,81433.54083149959
Tokyo,89368.72521123312
Paris,81664.8627231758
Paris,70694.45908916468
Mumbai,57465.4969027777
Paris,71133.2172184864
New York,135197.04262894485
New York,130740.42217912347
Mumbai,58164.48007643214
Tokyo,75503.69817384475
Tokyo,82204.84106284389
Paris,83921.01413476355
Paris,81488.1880559227
Paris,85693.36547744364
Tokyo,64318.25740716692
London,137860.78983775812
New York,131721.10602822778
London,147765.66623555642
London,122050.02314536812
Tokyo,72911.2424907238
London,140873.92432966334
Mumbai,53740.66635004776
Paris,67762.85759698707
Mumbai,56601.37048380122
New York,136416.31908827354
Paris,86113.76932971523
London,131197.79443388278
New York,135636.5997102876
Paris,78520.5942481674
London,140161.6811625676
Mumbai,57506.70901974456
Paris,80772.68658677404
London,127485.73100514746
Mumbai,40060.55553244702
New York,131740.81675311428
New York,131170.6604142417
New York,134490.84745010946
New York,136122.58150761845
Tokyo,66392.55026054425
Paris,93171.71287901561
Paris,65200.46387671663
Tokyo,83169.03045496029
London,138756.14308591327
London,131206.64403143045
New York,130504.88944412408
Mumbai,58824.59715352838
London,131568.40538596944
Mumbai,68088.01418239658
Paris,81259.70224669298
Mumbai,68189.54533880524
Paris,71614.51080419912
Tokyo,81771.77731092309
Tokyo,78517.47062546178
New York,137394.08229831312
London,126440.03591917611
New York,136649.94516237773
Paris,79941.21179170607
New York,137428.24974906316
Mumbai,49811.33932455453
Paris,91701.71076395758
Tokyo,62529.039438340515
London,144215.67956373564
Paris,90839.58877445273
Paris,89517.56934100464
Mumbai,55381.79182785328
London,133151.54940092284
Tokyo,89887.8685957463
Paris,71875.15853642486
Paris,81406.27897628133
Mumbai,60120.26576146977
New York,137008.67635861432
Tokyo,66120.73997215736
London,139619.82277019403
Paris,89551.08699444012
Paris,66500.55730463336
Tokyo,87345.6387997595
New York,130295.04055145205
Paris,75679.13097465184
Tokyo,60474.39588698886
Mumbai,42314.35505618746
New York,139111.68285180078
London,130645.82492238443
Paris,77743.14591275158
Tokyo,66460.33144147658
Mumbai,57912.8731056016
London,137844.0964403337
Tokyo,71166.01175475658
Tokyo,69991.04615416194
London,146548.92924541765
Mumbai,51498.52718926604
Mumbai,54805.02976463224
New York,132833.0476242493
Paris,88603.08510071383
London,131923.44470697275
London,135408.33139632974
London,127600.71510178984
Mumbai,69629.78777023756
Paris,73744.87222771169
New York,137707.4253090555
Tokyo,72824.86951070277
Tokyo,66186.5221525242
London,143991.56291894583
Paris,75008.2036708713
Mumbai,65955.80042193433
Paris,92457.7155475347
Paris,90794.71506173827
Mumbai,41050.23744420417
London,143621.20035015317
Paris,77340.18399497432
Tokyo,86211.68760546675
Mumbai,59138.62788054216
New York,138336.43134143957
London,134982.95309600505
Mumbai,56050.76513796799
New York,131443.87632133666
New York,137839.87358689355
Paris,77581.68835000915
Paris,80002.40354814747
Paris,88552.93142287123
Mumbai,57965.36200238317
Mumbai,46032.96182328002
London,137706.9797745268
Paris,77228.98573938967
New York,134695.25542043863
Tokyo,60849.33823208003
London,126300.88048548845
Mumbai,48431.14244143085
London,141388.80023576418
London,120344.77419894346
London,132263.31783687396
London,147720.80611277197
Tokyo,63356.418496473714
Paris,80492.73164655833
New York,137865.22382390848
London,148275.9392256035
London,142403.29918601154
London,141616.96645933218
Paris,89794.64270587287
Mumbai,53386.03662932631
Mumbai,64175.33597853499
Tokyo,60238.932142363534
Mumbai,67736.83166130414
London,133299.19528551525
London,136601.40563597242
London,127646.46746744646
Tokyo,82275.92498521264
London,122299.07419425747
Mumbai,66179.07407640506
Paris,89843.50487019029
Paris,71481.80348734299
New York,138093.2439828526
Mumbai,63590.73199184444
London,138966.49793261848
Paris,76205.60530699062
Mumbai,48144.962625456035
Paris,71953.5077086805
London,129558.26888290822
Paris,92106.7533029759
New York,130776.4077598878
New York,138288.71276252958
Paris,75466.70225125471
Mumbai,55647.98188034075
Mumbai,63834.56900945472
Mumbai,66531.29641068913
Paris,75343.4426021794
Mumbai,53855.30443825331
London,132435.48194450376
New York,130132.5103350391
London,128878.2866657597
Mumbai,53775.677011976855
London,132332.8082664132
Mumbai,61657.87682547038
Paris,76544.1085166331
London,134681.2934691201
Paris,77888.2577639709
Paris,87218.78446683112
Tokyo,85889.17196960887
Mumbai,55956.672370225424
New York,137894.3219419519
Mumbai,48903.60046059552
New York,135413.69610157268
Mumbai,50356.898610099175
Paris,77426.02776715491
London,141972.41594438005
London,146449.87446998138
Tokyo,63644.86173263296
New York,136346.3925648738
New York,135821.438075778
New York,131184.15039175932
Paris,71356.82991320327
New York,133110.0249473268
London,125007.93212452505
Paris,72311.88447573026
Mumbai,48028.02396585123
New York,133356.7383303906
New York,137493.9045280116
Mumbai,57157.366115518016
New York,139862.46671951402
Mumbai,52442.07480902413
Paris,87615.95221510775
London,146144.052641296
Mumbai,60369.35479114126
Tokyo,72355.94221252488
Mumbai,62607.83892237259
New York,132036.67137772686
Paris,74826.56495540397
Paris,81400.55765297866
Mumbai,57262.28161858445
London,120664.24426417888
Tokyo,88353.42566268027
Paris,85898.8181365217
New York,134957.0375023189
New York,139331.2723440831
London,133172.86695752485
Paris,94413.06710811115
Mumbai,55368.542717304554
New York,131142.8576999798
London,142944.0291737783
Paris,85366.93175233522
Paris,88189.60163916761
Paris,93543.26086177042
Paris,88294.67907953054
Paris,83340.0980664994
New York,138573.08902360842
London,140197.39318063593
Paris,77243.57170477769
Tokyo,86568.5929272532
Tokyo,66657.01382353119
London,141439.23824726173
Mumbai,66446.90364822271
Mumbai,61939.49559109889
Mumbai,60918.262571615705
Tokyo,82579.14882215508
Mumbai,53951.65744901933
New York,138741.70682157026
Paris,71103.09425408274
Tokyo,63821.59248001018
London,128565.26340355535
London,135947.3219032498
Paris,80316.85386228014
Tokyo,84617.9627302976
Mumbai,52137.05969212052
Mumbai,54530.33278874526
New York,130133.67683259396
New York,134097.3923644294
Mumbai,59433.22698851026
London,120465.24991879777
London,128426.45895558731
New York,132079.5635928939
Paris,66259.56286728765
Mumbai,54377.80269743613
New York,131817.23293228156
New York,137430.8153963138
Mumbai,65437.83651290045
Mumbai,56367.555480074436
London,149451.22027563426
